timestamp,power_w
1765505099,5.8016
1765505099,5.7902
1765505099,5.7902
1765505100,5.7902
1765505100,6.089
1765505100,6.089
1765505100,6.089
1765505100,6.089
1765505100,5.3498
1765505100,5.3498
1765505100,5.3498
1765505100,5.3498
1765505101,6.5122
1765505101,6.5122
1765505101,6.4995
1765505101,6.4995
1765505101,6.0679
1765505101,6.0679
1765505101,6.0679
1765505101,6.0679
1765505102,6.306
1765505101,6.306
1765505102,6.306
1765505102,6.306
1765505102,6.306
1765505102,5.9213
1765505102,5.9329
1765505102,5.9329
1765505102,5.6591
1765505102,5.9329
1765505103,5.6591
1765505103,5.6591
1765505103,5.6591
1765505103,5.6591
1765505103,5.7549
1765505103,5.7549
1765505103,5.7549
1765505103,5.7549
1765505103,5.7549
1765505104,5.5692
1765505104,5.5801
1765505104,5.5692
1765505104,5.5801
1765505104,6.1781
1765505104,6.1781
1765505104,6.1781
1765505104,6.1781
1765505104,6.1781
1765505104,5.8088
1765505105,5.8088
1765505105,5.8088
1765505105,5.8088
1765505105,5.8088
1765505105,5.8088
1765505105,6.2593
1765505105,6.2471
1765505105,6.2471
1765505105,6.2471
1765505106,5.9855
1765505106,5.9855
1765505106,5.9855
1765505106,5.9855
1765505106,6.3529
1765505106,5.9855
1765505106,6.3529
1765505106,6.3529
1765505106,6.3529
1765505107,6.3529
1765505107,6.35
1765505107,6.3624
1765505107,6.3624
1765505107,5.116
1765505107,5.116
1765505107,5.116
1765505107,5.116
1765505107,5.438
1765505108,5.438
1765505108,5.438
1765505108,5.438
1765505108,5.438
1765505108,6.2389
1765505108,6.2389
1765505108,6.2267
1765505108,5.8687
1765505109,5.8687
1765505109,5.8687
1765505109,5.8687
1765505109,6.1863
1765505109,6.1863
1765505109,6.1863
1765505109,6.1863
1765505109,6.1863
1765505109,6.1863
1765505110,6.0246
1765505110,6.0246
1765505110,6.0246
1765505110,6.0246
1765505110,5.1671
1765505110,5.1671
1765505110,5.1671
1765505110,5.1671
1765505110,5.7667
1765505111,5.7667
1765505111,5.7667
1765505111,5.7667
1765505111,5.7667
1765505111,5.7689
1765505111,5.7689
1765505111,5.7689
1765505111,5.7689
1765505111,5.0634
1765505111,5.0634
1765505112,5.0634
1765505112,5.0634
1765505112,5.0634
1765505112,5.6078
1765505112,5.6078
1765505112,5.6078
1765505112,5.6078
1765505112,5.6078
1765505112,5.6088
1765505113,5.6088
1765505113,5.6088
1765505113,5.6088
1765505113,5.8651
1765505113,5.8651
1765505113,5.8651
1765505113,5.6637
1765505113,5.8651
1765505113,5.8651
1765505114,5.6637
1765505114,5.6637
1765505114,5.6637
1765505114,5.6637
1765505114,5.3642
1765505114,5.3642
1765505114,5.3747
1765505114,5.3747
1765505114,6.0647
1765505115,6.0647
1765505115,6.0647
1765505115,6.0647
1765505115,5.663
1765505115,5.663
1765505115,5.663
1765505115,5.663
