model_name,quantization,activation_precision,governor,prefill_len,decode_len,input_tokens,output_tokens,prefill_latency_s,decode_latency_s,prefill_tps,decode_tps,prefill_avg_power_w,decode_avg_power_w,prefill_energy_j,decode_energy_j,prefill_energy_per_token_in,decode_energy_per_token_out,prefill_tokens_per_s_per_w,decode_tokens_per_s_per_w,prefill_avg_cpu,prefill_peak_mem_gb,prefill_max_temp_c,prefill_freq_mean_mhz,prefill_freq_min_mhz,prefill_freq_max_mhz,prefill_throttled_any,decode_avg_cpu,decode_peak_mem_gb,decode_max_temp_c,decode_freq_mean_mhz,decode_freq_min_mhz,decode_freq_max_mhz,decode_throttled_any
SmolLM2-135M,None (Full Precision),32-bit,ondemand,256,512,119,86,0.2079761028289795,44.55725884437561,572.1811226449161,1.9301007788735558,0.0,5.864059770114943,0.0,220.83754999999994,0.0,2.5678784883720924,0.0,0.3291407070422346,100.0,1.184967041015625,85.1,2146.022272,2146.022272,2146.022272,True,99.75684210526316,1.1850738525390625,87.3,1757.364177291228,1500.009472,2311.034624,True
SmolLM2-135M,None (Full Precision),32-bit,ondemand,256,128,119,128,31.34027409553528,88.75499200820923,3.7970312460334443,1.4421724018426014,5.8967006872852235,5.765780804150454,180.4534,501.00389999999993,1.5164151260504202,3.9140929687499995,0.643924704236863,0.2501261235606571,97.95980392156862,1.1632232666015625,87.3,1724.7897493333335,1500.009472,2311.02464,True,99.85263157894737,1.1688232421875,87.3,1696.474541585965,1500.009472,2256.03584,True
SmolLM2-135M,None (Full Precision),32-bit,ondemand,256,128,119,80,39.63048720359802,72.98228812217712,3.0027387599008897,1.0961563696944492,5.879796306818181,5.591480732484077,222.88620000000003,401.4943500000001,1.8729932773109246,5.018679375000001,0.5106875482096088,0.19604044476559784,99.79367588932806,1.162506103515625,87.3,1694.9450113517787,1500.009472,2201.030656,True,99.84382978723404,1.16607666015625,87.3,1706.1629712340427,1500.009472,2256.032768,True
SmolLM2-135M,None (Full Precision),32-bit,ondemand,1024,128,199,74,68.13575601577759,68.88522553443909,2.9206397879245567,1.0742506745950013,5.81206977124183,5.583624531516183,390.13225,379.5363500000002,1.960463567839196,5.1288695945945975,0.5025128573603688,0.19239307165650305,99.39086757990867,1.189849853515625,87.3,1664.2043563835618,1500.009472,2256.03584,True,99.83856502242152,1.1900482177734375,87.3,1690.4436405381168,1500.009472,2256.019456,True
SmolLM2-135M,None (Full Precision),32-bit,ondemand,1024,128,199,54,0.7765955924987793,45.8503737449646,256.24662555667646,1.17774394381966,6.0756625,5.598986133333333,0.0,244.66505,0.0,4.530834259259259,42.175915063859534,0.2103495018156966,100.0,1.1900787353515625,85.6,1651.2187648,1500.016128,2256.022784,True,99.83800000000001,1.1900787353515625,87.3,1674.669792,1500.009472,2256.029184,True
SmolLM2-135M,None (Full Precision),32-bit,ondemand,256,128,119,104,0.3893430233001709,103.32577466964722,305.64307789908656,1.0065252385719672,0.0,5.594439260969977,0.0,577.4609,0.0,5.5525086538461546,0.0,0.17991530368272396,99.5,1.1712188720703125,86.2,1500.0171946666667,1500.0128,1500.022656,True,99.83144560357674,1.1753082275390625,87.3,1647.2173854903128,1500.009472,2256.029184,True
SmolLM2-135M,None (Full Precision),32-bit,ondemand,256,128,119,128,0.957603931427002,131.46098446846008,124.26849566361807,0.973672915333367,5.685011111111112,5.548875364963504,0.0,721.6899499999998,0.0,5.638202734374999,21.858971466342535,0.17547211845508284,99.74285714285715,1.16912841796875,86.7,1500.0156342857142,1500.0128,1500.022656,True,99.84710743801652,1.1744842529296875,87.3,1666.417476155844,1500.009472,2256.032768,True
SmolLM2-135M,None (Full Precision),32-bit,ondemand,256,128,119,128,0.3630375862121582,112.43312168121338,327.7897510327118,1.1384545593506163,5.736142857142857,5.588214301191766,0.0,619.4318000000002,0.0,4.839310937500001,57.14462822775341,0.20372421277899538,100.0,1.1773529052734375,85.1,1500.0193920000002,1500.016128,1500.022656,True,99.86890410958904,1.17852783203125,87.3,1692.936086619178,1500.009472,2311.027968,True
SmolLM2-135M,None (Full Precision),32-bit,ondemand,1024,128,199,128,0.9639294147491455,133.17025017738342,206.44665154428145,0.9611756366718797,5.395637499999999,5.586572479564033,0.0,736.0027500000003,0.0,5.750021484375003,38.2617719489646,0.172051045643444,100.0,1.190704345703125,86.2,1887.6223744,1500.019456,2146.0288,True,99.87389277389278,1.194000244140625,87.3,1664.8283405128207,1500.009472,2256.026112,True
SmolLM2-135M,None (Full Precision),32-bit,ondemand,256,128,119,126,0.37471795082092285,128.1892614364624,317.57218926741496,0.982921647165059,0.0,5.545977641509434,0.0,704.1258000000003,0.0,5.588300000000002,0.0,0.17723144785299566,100.0,1.1767425537109375,85.6,2173.526336,2146.025344,2201.027328,True,99.89369696969698,1.1767425537109375,87.3,1648.2798103272728,1500.009472,2256.032768,True
